round,category,question_number,question_text,answer_text,daily_double_flag,image_url
1,The Tonys,1,This Lin-Manuel Miranda musical about a Founding Father set a record with 16 nominations in 2016.,Hamilton,FALSE,
1,The Tonys,2,This Mel Brooks musical about intentionally creating a Broadway flop won a record-setting 12 awards in 2001.,The Producers,FALSE,
1,The Tonys,3,"This 2004 Best Musical features puppets, raunchy humor, and a title location that sounds like a very ordinary street address.",Avenue Q,FALSE,
1,The Tonys,4,This 2024 Best Musical is based on an S.E. Hinton novel about rival youth gangs in Oklahoma.,The Outsiders,TRUE,
1,The Tonys,5,"In 1960, this Rodgers and Hammerstein classic tied with Fiorello! for Best Musical.",The Sound of Music,FALSE,
1,Taking Stock,1,DIS,Disney,FALSE,
1,Taking Stock,2,F,Ford,FALSE,
1,Taking Stock,3,MMM,3M,FALSE,
1,Taking Stock,4,KO,Coca-Cola,FALSE,
1,Taking Stock,5,CMG,Chipotle Mexican Grill Inc,FALSE,
1,Modern Marvels,1,"Opened in 2010, this Dubai skyscraper remains the tallest building in the world at 828 meters.",Burj Khalifa,FALSE,
1,Modern Marvels,2,This London observation wheel opened to the public in 2000 and became one of the city’s most recognizable modern landmarks.,The London Eye,FALSE,
1,Modern Marvels,3,"Built for the 2008 Summer Olympics, Beijing National Stadium earned this avian-inspired nickname due to its shape.",The Bird's Nest,FALSE,
1,Modern Marvels,4,These twin skyscrapers in Kuala Lumpur are linked by a two-story skybridge between their 41st and 42nd floors.,The Petronas Towers,FALSE,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/The_Twins_SE_Asia_2019_%2849171985716%29_%28cropped%29_2.jpg/500px-The_Twins_SE_Asia_2019_%2849171985716%29_%28cropped%29_2.jpg
1,Modern Marvels,5,"This honeycomb-like New York landmark in Hudson Yards opened in 2019, but its climbable stairs have faced repeated closures.",Vessel,FALSE,https://www.hudsonyardsnewyork.com/sites/default/files/styles/experience_details/public/2024-10/Vessel%20in%20New%20York%20City_Courtesy%20of%20Vessel_0.jpg?h=1701b1d9&itok=aY0GiOXO
1,It's Lit,1,"In 1666, a blaze that began in a bakery on Pudding Lane destroyed much of this English capital.",London,FALSE,
1,It's Lit,2,"In 1937, this German airship caught fire while attempting to land in New Jersey.",The Hindenburg,FALSE,
1,It's Lit,3,"This emperor is famously, though probably falsely, said to have fiddled while Rome burned.",Nero,FALSE,
1,It's Lit,4,"In 1911, this New York City factory disaster killed 146 workers and helped spur major workplace safety reforms.",TTriangle Shirtwaist Factory fire,FALSE,
1,It's Lit,5,This 1980 Las Vegas hotel fire led to major changes in hotel sprinkler and safety regulations.,The MGM Grand fire,FALSE,
1,The Office,1,This regional manager of the Scranton branch once declared bankruptcy by simply shouting it.,Michael Scott,FALSE,
1,The Office,2,This receptionist eventually marries Jim Halpert.,Pam Beesly,FALSE,
1,The Office,3,"This annual company awards ceremony is hosted by Michael, often at Chili’s.",The Dundies,FALSE,
1,The Office,4,This office character punches a hole in the wall after Jim hides his phone in the ceiling.,Andy Bernard,FALSE,
1,The Office,5,Threat Level Midnight is the homemade action film featuring Michael Scarn facing off against this antagonist.,Goldenface,FALSE,
2,The Tonys,1,This actor won an Academy Award for playing Hannibal Lecter in The Silence of the Lambs.,Anthony Hopkins,FALSE,
2,The Tonys,2,"This R&B singer had major hits with “Un-Break My Heart,” “Breathe Again,” and “He Wasn’t Man Enough.”",Toni Braxton,FALSE,
2,The Tonys,3,"In Scarface, this actor played Tony Montana, a Cuban immigrant who rises to power in Miami’s drug trade.",Who is Al Pacino?,FALSE,
2,The Tonys,4,This actor played Antonio the taxi driver in the 90's American tv sitcom Wings.,Tony Shalhoub,TRUE,
2,The Tonys,5,This actor was Oscar-nominated for The Sixth Sense and starred in Hereditary.,Toni Collette,FALSE,
2,Taking Stock,1,"This Vietnamese bowl is built around aromatic broth, rice noodles, herbs, and thinly sliced beef or chicken.",Pho,FALSE,
2,Taking Stock,2,This Ukrainian and Eastern European dish gets its vivid red color from beets and is often served with sour cream.,Borscht,FALSE,
